"ip","image","responseTime","timestamp"
"::1","snake1_0944.JPG",2.091,"2025-03-21T17:27:06.910Z"
"::1","snake2_0997.JPG",2.596,"2025-03-21T17:27:10.673Z"
"::1","snake3_1021.JPG",8.319,"2025-03-21T17:27:20.123Z"
"::1","snake4_1048.JPG",1.579,"2025-03-21T17:27:23.037Z"
"::1","snake5_1165.JPG",6.019,"2025-03-21T17:27:30.005Z"
"::1","snake1_0944.JPG",3.278,"2025-03-21T17:35:29.673Z"
